1|Argentinos Juniors|Argentina
5|Estudiantes de La Plata|Argentina
6|Velez Sarsfield|Argentina
9|Gimnasia y Esgrima La Plata|Argentina
10|Talleres Cordoba|Argentina
11|Union de Santa Fe|Argentina
13|Deportivo Riestra|Argentina
14|Newells Old Boys|Argentina
18|Sarmiento Junin|Argentina
22|Boca Juniors|Argentina
23|River Plate|Argentina
27|Racing Club|Argentina
33|Athletico Paranaense|Brazil
34|Red Bull Bragantino|Brazil
38|Atletico Mineiro|Brazil
43|Internacional|Brazil
46|Vasco da Gama|Brazil
52|Colo-Colo|Chile
57|Everton de Vina del Mar|Chile
64|Universidad de Chile|Chile
69|Defensor Sporting|Uruguay
71|Montevideo Wanderers|Uruguay
116|Independiente Santa Fe|Colombia
117|Junior|Colombia
123|Barcelona SC|Ecuador
127|Delfin SC|Ecuador
129|LDU Quito|Ecuador
144|Melgar|Peru
146|Cajamarca|Peru
170|Metropolitanos FC|Venezuela
172|Universidad Central de Venezuela|Venezuela
173|Portuguesa FC|Venezuela
175|Carabobo FC|Venezuela
177|Zamora FC|Venezuela
178|Caracas FC|Venezuela
180|Monagas SC|Venezuela
184|Aston Villa|England
185|Bournemouth|England
187|Brighton|England
190|Crystal Palace|England
193|Leeds United|England
195|Manchester City|England
196|Manchester United|England
197|Newcastle United|England
198|Nottingham Forest|England
199|Sunderland|England
200|Tottenham Hotspur|England
201|West Ham United|England
202|Wolverhampton Wanderers|England
204|Athletic Club|Spain
205|Atletico Madrid|Spain
206|Barcelona|Spain
207|Celta Vigo|Spain
215|Rayo Vallecano|Spain
216|Real Betis|Spain
217|Real Madrid|Spain
219|Real Sociedad|Spain
231|Inter Milan|Italy
232|Juventus|Italy
235|AC Milan|Italy
239|Roma|Italy
243|Bayern Munich|Germany
244|Borussia Dortmund|Germany
245|RB Leipzig|Germany
246|Bayer Leverkusen|Germany
247|VfB Stuttgart|Germany
248|Eintracht Frankfurt|Germany
249|SC Freiburg|Germany
250|TSG Hoffenheim|Germany
251|FC Augsburg|Germany
252|Mainz 05|Germany
254|Borussia Monchengladbach|Germany
255|Werder Bremen|Germany
256|VfL Wolfsburg|Germany
257|FC St. Pauli|Germany
259|FC Koln|Germany
260|Hamburger SV|Germany
261|Paris Saint-Germain|France
262|Marseille|France
263|Lyon|France
264|AS Monaco|France
265|Lille|France
266|Nice|France
267|Lens|France
268|Rennes|France
269|Strasbourg|France
270|Toulouse|France
271|Nantes|France
277|Lorient|France
279|Porto|Portugal
281|Sporting CP|Portugal
284|PSV Eindhoven|Netherlands
286|AZ Alkmaar|Netherlands
288|Rangers|Scotland
294|Red Bull Salzburg|Austria
295|Shakhtar Donetsk|Ukraine
296|Dynamo Kyiv|Ukraine
299|Red Star Belgrade|Serbia
301|FC Copenhagen|Denmark
305|Leicester City|England
306|Southampton|England
307|Ipswich Town|England
308|Sheffield United|England
309|Sheffield Wednesday|England
310|Norwich City|England
311|Watford|England
312|Middlesbrough|England
314|Stoke City|England
315|Coventry City|England
316|Derby County|England
317|West Bromwich Albion|England
318|Birmingham City|England
320|Cardiff City|Wales
321|Swansea City|Wales
322|Hull City|England
323|Queens Park Rangers|England
324|Portsmouth|England
325|Luton Town|England
326|Bolton Wanderers|England
327|Al-Nassr|Saudi Arabia
328|Al-Hilal|Saudi Arabia
329|Al-Ittihad|Saudi Arabia
330|Al-Ahli|Saudi Arabia
333|LAFC|United States
334|Club America|Mexico
335|Chivas Guadalajara|Mexico
337|Pumas UNAM|Mexico
339|Tigres UANL|Mexico
340|Bristol City|England
341|Huddersfield Town|England
343|Preston North End|England
345|AFC Wimbledon|England
348|Bradford City|England
349|Burton Albion|England
350|Doncaster Rovers|England
351|Exeter City|England
352|Leyton Orient|England
353|Lincoln City|England
354|Mansfield Town|England
355|Northampton Town|England
356|Peterborough United|England
357|Plymouth Argyle|England
359|Rotherham United|England
360|Salford City|England
362|Stockport County|England
363|Tranmere Rovers|England
364|Wigan Athletic|England
365|Wycombe Wanderers|England
366|Charlton Athletic|England
367|Oxford United|England
368|Accrington Stanley|England
370|Cheltenham Town|England
371|Colchester United|England
372|Crewe Alexandra|England
373|Crawley Town|England
374|Forest Green Rovers|England
376|Grimsby Town|England
377|Harrogate Town|England
378|Maidenhead United|England
379|Notts County|England
380|Oldham Athletic|England
381|Swindon Town|England
383|MK Dons|England
384|Newport County|Wales
385|Salop United|England
386|Southend United|England
387|Sutton United|England
388|Torquay United|England
391|Aberdeen|Scotland
393|Dundee United|Scotland
395|Hibernian|Scotland
396|Kilmarnock|Scotland
397|Motherwell|Scotland
398|Ross County|Scotland
399|St Johnstone|Scotland
400|St Mirren|Scotland
401|Deportivo La Coruna|Spain
402|Malaga|Spain
403|Real Zaragoza|Spain
404|Real Valladolid|Spain
405|Sporting Gijon|Spain
406|Racing Santander|Spain
407|Cadiz|Spain
408|Almeria|Spain
409|Las Palmas|Spain
410|Granada|Spain
411|Eibar|Spain
412|Leganes|Spain
413|Huesca|Spain
414|Numancia|Spain
415|Real Murcia|Spain
416|Hercules|Spain
417|Tenerife|Spain
418|Cordoba|Spain
419|Recreativo Huelva|Spain
18984|Vitoria Guimaraes|Portugal
18995|Standard Liege|Belgium
18999|Union Saint-Gilloise|Belgium
19011|AEK Athens|Greece
19027|Tijuana|Mexico
19059|1. FC Kaiserslautern|Germany
19061|Saint-Etienne|France
19062|Bordeaux|France
19071|Guarani|Brazil
19129|Reims|France
19321|Pro Vercelli|
