530|Lionel Messi|Argentina
531|Cristiano Ronaldo|Portugal
532|Ronaldo Nazario|Brazil
533|Ronaldinho|Brazil
534|Zinedine Zidane|France
535|Neymar|Brazil
536|Kylian Mbappe|France
537|Erling Haaland|Norway
538|Robert Lewandowski|Poland
539|Karim Benzema|France
540|Luka Modric|Croatia
541|Kevin De Bruyne|Belgium
542|Mohamed Salah|Egypt
543|Sadio Mane|Senegal
544|Harry Kane|England
545|Thierry Henry|France
546|Didier Drogba|Ivory Coast
547|Samuel Eto'o|Cameroon
548|George Weah|Liberia
549|Roberto Baggio|Italy
550|Michael Owen|England
551|Alan Shearer|England
552|Wayne Rooney|England
553|Andriy Shevchenko|Ukraine
554|Pavel Nedved|Czechia
555|Fabio Cannavaro|Italy
556|Kaka|Brazil
557|Rivaldo|Brazil
558|Romario|Brazil
559|Pele|Brazil
560|Diego Maradona|Argentina
561|Johan Cruyff|Netherlands
562|Franz Beckenbauer|Germany
563|Gerd Muller|Germany
564|Eusebio|Portugal
565|Bobby Charlton|England
566|Garrincha|Brazil
567|George Best|Northern Ireland
568|Marco van Basten|Netherlands
569|Ruud Gullit|Netherlands
570|Frank Rijkaard|Netherlands
571|Dennis Bergkamp|Netherlands
572|Ruud van Nistelrooy|Netherlands
573|Ryan Giggs|Wales
574|Paul Scholes|England
575|David Beckham|England
576|Steven Gerrard|England
577|Frank Lampard|England
578|John Terry|England
579|Rio Ferdinand|England
580|Xavi Hernandez|Spain
581|Andres Iniesta|Spain
582|Sergio Ramos|Spain
583|Gerard Pique|Spain
584|Carles Puyol|Spain
585|Iker Casillas|Spain
586|Gianluigi Buffon|Italy
587|Paolo Maldini|Italy
588|Alessandro Del Piero|Italy
589|Francesco Totti|Italy
590|Andrea Pirlo|Italy
591|Gianfranco Zola|Italy
592|Roberto Carlos|Brazil
593|Cafu|Brazil
594|Luis Suarez|Uruguay
595|Edinson Cavani|Uruguay
596|Radamel Falcao|Colombia
597|James Rodriguez|Colombia
598|Diego Forlan|Uruguay
599|Zlatan Ibrahimovic|Sweden
600|Thomas Muller|Germany
601|Manuel Neuer|Germany
602|Toni Kroos|Germany
603|Sergio Aguero|Argentina
604|David Villa|Spain
605|Fernando Torres|Spain
606|Xabi Alonso|Spain
607|Wesley Sneijder|Netherlands
608|Arjen Robben|Netherlands
609|Marco Reus|Germany
610|Mario Gotze|Germany
611|Mesut Ozil|Germany
612|Ilkay Gundogan|Germany
613|N'Golo Kante|France
614|Antoine Griezmann|France
615|Ousmane Dembele|France
616|Riyad Mahrez|Algeria
617|Victor Osimhen|Nigeria
618|Achraf Hakimi|Morocco
619|Vinicius Junior|Brazil
620|Jude Bellingham|England
621|Pedri|Spain
622|Gavi|Spain
623|Bukayo Saka|England
624|Phil Foden|England
625|Declan Rice|England
626|Marcus Rashford|England
627|Son Heung-min|South Korea
628|Kaoru Mitoma|Japan
629|Takefusa Kubo|Japan
630|Lautaro Martinez|Argentina
631|Julian Alvarez|Argentina
632|Rodrygo|Brazil
633|Federico Valverde|Uruguay
634|Casemiro|Brazil
635|Fabinho|Brazil
636|Virgil van Dijk|Netherlands
637|Alisson Becker|Brazil
638|Ederson|Brazil
639|Thibaut Courtois|Belgium
640|Jan Oblak|Slovenia
641|David de Gea|Spain
642|Petr Cech|Czechia
643|Edwin van der Sar|Netherlands
644|Oliver Kahn|Germany
645|Peter Schmeichel|Denmark
646|Gordon Banks|England
647|Lev Yashin|Soviet Union
648|Dino Zoff|Italy
649|Fabien Barthez|France
650|Michael Ballack|Germany
