651|Lothar Matthaus|Germany
652|Jurgen Klinsmann|Germany
653|Rudi Voller|Germany
654|Karl-Heinz Rummenigge|Germany
655|Uwe Seeler|Germany
656|Bobby Moore|England
657|Geoff Hurst|England
658|Kenny Dalglish|Scotland
659|Ian Rush|Wales
660|Peter Crouch|England
661|Jamie Vardy|England
662|Sergio Busquets|Spain
663|Marc-Andre ter Stegen|Germany
664|Robert Pires|France
665|Patrick Vieira|France
666|Claude Makelele|France
667|Marcel Desailly|France
668|Lilian Thuram|France
669|Youri Djorkaeff|France
670|David Trezeguet|France
671|Nicolas Anelka|France
672|William Gallas|France
673|Bacary Sagna|France
674|Hugo Lloris|France
675|Raphael Varane|France
676|Paul Pogba|France
677|Olivier Giroud|France
678|Alexandre Lacazette|France
679|Wissam Ben Yedder|France
680|Moussa Dembele|France
681|Gabriel Jesus|Brazil
682|Roberto Firmino|Brazil
683|Diogo Jota|Portugal
684|Darwin Nunez|Uruguay
685|Cody Gakpo|Netherlands
686|Bruno Fernandes|Portugal
687|Rasmus Hojlund|Denmark
688|Gianluigi Donnarumma|Italy
689|Desire Doue|France
690|Denzel Dumfries|Netherlands
691|Serhou Guirassy|Guinea
692|Viktor Gyokeres|Sweden
693|Khvicha Kvaratskhelia|Georgia
694|Alexis Mac Allister|Argentina
695|Scott McTominay|Scotland
696|Nuno Mendes|Portugal
697|Joao Neves|Portugal
698|Michael Olise|France
699|Cole Palmer|England
700|Raphinha|Brazil
701|Fabian Ruiz|Spain
702|Vitinha|Portugal
703|Florian Wirtz|Germany
704|Lamine Yamal|Spain
705|David Raya|Spain
706|William Saliba|France
707|Cristhian Mosquera|Spain
708|Ben White|England
709|Gabriel Magalhaes|Brazil
710|Martin Odegaard|Norway
711|Gabriel Martinelli|Brazil
712|Jurrien Timber|Netherlands
713|Kepa Arrizabalaga|Spain
714|Jakub Kiwior|Poland
715|Christian Norgaard|Denmark
716|Oleksandr Zinchenko|Ukraine
717|Leandro Trossard|Belgium
718|Noni Madueke|England
719|Mikel Merino|Spain
720|Kai Havertz|Germany
721|Riccardo Calafiori|Italy
722|Martin Zubimendi|Spain
723|Myles Lewis-Skelly|England
724|Ethan Nwaneri|England
725|Eberechi Eze|England
726|Trent Alexander-Arnold|England
727|Andrew Robertson|Scotland
728|Ibrahima Konate|France
729|Dominik Szoboszlai|Hungary
730|Ryan Gravenberch|Netherlands
731|Curtis Jones|England
732|Luis Diaz|Colombia
733|Federico Chiesa|Italy
734|Hugo Ekitike|France
735|Alexander Isak|Sweden
736|Jeremie Frimpong|Netherlands
737|Milos Kerkez|Hungary
738|Giorgi Mamardashvili|Georgia
739|Joe Gomez|England
740|Wataru Endo|Japan
741|Harvey Elliott|England
742|Caoimhin Kelleher|Republic of Ireland
743|Rodri|Spain
744|Bernardo Silva|Portugal
745|Ruben Dias|Portugal
