entity_id,canonical_name,scope
1,Argentinos Juniors,Argentina
14,Newells Old Boys,Argentina
15,Banfield,Argentina
20,Independiente,Argentina
22,Boca Juniors,Argentina
23,River Plate,Argentina
27,Racing Club,Argentina
30,Palmeiras,Brazil
31,Flamengo,Brazil
32,Fluminense,Brazil
37,Sao Paulo,Brazil
38,Atletico Mineiro,Brazil
39,Corinthians,Brazil
40,Cruzeiro,Brazil
41,Botafogo,Brazil
43,Internacional,Brazil
44,Santos,Brazil
45,Gremio,Brazil
46,Vasco da Gama,Brazil
66,Penarol,Uruguay
67,Nacional,Uruguay
68,Danubio,Uruguay
113,Envigado,Colombia
119,Millonarios,Colombia
183,Arsenal,England
184,Aston Villa,England
185,Bournemouth,England
187,Brighton,England
189,Chelsea,England
191,Everton,England
192,Fulham,England
193,Leeds United,England
194,Liverpool,England
195,Manchester City,England
196,Manchester United,England
197,Newcastle United,England
198,Nottingham Forest,England
200,Tottenham Hotspur,England
201,West Ham United,England
205,Atletico Madrid,Spain
206,Barcelona,Spain
209,Espanyol,Spain
210,Getafe,Spain
212,Levante,Spain
213,Mallorca,Spain
215,Rayo Vallecano,Spain
217,Real Madrid,Spain
219,Real Sociedad,Spain
220,Sevilla,Spain
221,Valencia,Spain
222,Villarreal,Spain
224,Bologna,Italy
225,Cagliari,Italy
228,Fiorentina,Italy
231,Inter Milan,Italy
232,Juventus,Italy
233,Lazio,Italy
235,AC Milan,Italy
236,Napoli,Italy
237,Parma,Italy
239,Roma,Italy
242,Udinese,Italy
243,Bayern Munich,Germany
244,Borussia Dortmund,Germany
246,Bayer Leverkusen,Germany
248,Eintracht Frankfurt,Germany
254,Borussia Monchengladbach,Germany
255,Werder Bremen,Germany
256,VfL Wolfsburg,Germany
260,Hamburger SV,Germany
261,Paris Saint-Germain,France
262,Marseille,France
263,Lyon,France
264,AS Monaco,France
265,Lille,France
266,Nice,France
268,Rennes,France
270,Toulouse,France
271,Nantes,France
275,Le Havre,France
276,Metz,France
279,Porto,Portugal
280,Benfica,Portugal
281,Sporting CP,Portugal
283,Ajax,Netherlands
284,PSV Eindhoven,Netherlands
285,Feyenoord,Netherlands
287,Celtic,Scotland
289,Galatasaray,Turkey
290,Fenerbahce,Turkey
294,Red Bull Salzburg,Austria
296,Dynamo Kyiv,Ukraine
297,Olympiacos,Greece
300,Dinamo Zagreb,Croatia
302,Sparta Prague,Czechia
305,Leicester City,England
306,Southampton,England
310,Norwich City,England
313,Blackburn Rovers,England
314,Stoke City,England
316,Derby County,England
318,Birmingham City,England
321,Swansea City,Wales
323,Queens Park Rangers,England
327,Al-Nassr,Saudi Arabia
328,Al-Hilal,Saudi Arabia
329,Al-Ittihad,Saudi Arabia
330,Al-Ahli,Saudi Arabia
331,Inter Miami,United States
332,LA Galaxy,United States
333,LAFC,United States
338,Monterrey,Mexico
342,Millwall,England
343,Preston North End,England
352,Leyton Orient,England
362,Stockport County,England
395,Hibernian,Scotland
401,Deportivo La Coruna,Spain
402,Malaga,Spain
403,Real Zaragoza,Spain
405,Sporting Gijon,Spain
409,Las Palmas,Spain
411,Eibar,Spain
412,Leganes,Spain
18973,Heerenveen,Netherlands
18978,FC Groningen,Netherlands
18987,Rio Ave,Portugal
18996,Genk,Belgium
18999,Union Saint-Gilloise,Belgium
19000,Charleroi,Belgium
19003,Trabzonspor,Turkey
19004,Basaksehir,Turkey
19011,AEK Athens,Greece
19017,Leon,Mexico
19031,New York City FC,United States
19032,New York Red Bulls,United States
19034,DC United,United States
19038,Orlando City,United States
19043,San Jose Earthquakes,United States
19049,Minnesota United,United States
19050,CF Montreal,United States
19051,Vancouver Whitecaps,United States
19053,Sampdoria,Italy
19054,Palermo,Italy
19056,Brescia,Italy
19057,Schalke 04,Germany
19059,1. FC Kaiserslautern,Germany
19060,1. FC Nurnberg,Germany
19062,Bordeaux,France
19081,Reggina,Italy
19084,Vicenza,Italy
19107,Karlsruher SC,Germany
19119,Chemnitzer FC,Germany
19123,Guingamp,France
19124,Caen,France
19136,Cannes,France
19145,Santa Cruz,Brazil
19148,Juventude,Brazil
