146|Cajamarca|Peru
378|Maidenhead United|England
379|Notts County|England
380|Oldham Athletic|England
381|Swindon Town|England
383|MK Dons|England
384|Newport County|Wales
385|Salop United|England
386|Southend United|England
387|Sutton United|England
388|Torquay United|England
391|Aberdeen|Scotland
393|Dundee United|Scotland
395|Hibernian|Scotland
396|Kilmarnock|Scotland
397|Motherwell|Scotland
398|Ross County|Scotland
399|St Johnstone|Scotland
400|St Mirren|Scotland
401|Deportivo La Coruna|Spain
402|Malaga|Spain
403|Real Zaragoza|Spain
404|Real Valladolid|Spain
405|Sporting Gijon|Spain
406|Racing Santander|Spain
407|Cadiz|Spain
408|Almeria|Spain
409|Las Palmas|Spain
410|Granada|Spain
411|Eibar|Spain
412|Leganes|Spain
413|Huesca|Spain
414|Numancia|Spain
415|Real Murcia|Spain
416|Hercules|Spain
417|Tenerife|Spain
418|Cordoba|Spain
419|Recreativo Huelva|Spain
18984|Vitoria Guimaraes|Portugal
18995|Standard Liege|Belgium
18999|Union Saint-Gilloise|Belgium
19011|AEK Athens|Greece
19059|1. FC Kaiserslautern|Germany
19061|Saint-Etienne|France
19062|Bordeaux|France
19071|Guarani|Brazil
19129|Reims|France
19321|Pro Vercelli|
