19180|Brian Clough|England
19181|Bob Paisley|England
19182|Roy Hodgson|England
19183|Terry Venables|England
19184|Graham Taylor|England
19185|Gareth Southgate|England
19186|Harry Redknapp|England
19187|Sam Allardyce|England
19188|Eddie Howe|England
19189|Graham Potter|England
19190|Steven Gerrard|England
19191|Frank Lampard|England
19192|Alex Ferguson|Scotland
19193|Bill Shankly|Scotland
19194|Matt Busby|Scotland
19195|Kenny Dalglish|Scotland
19196|Walter Smith|Scotland
19197|David Moyes|Scotland
19198|Arsene Wenger|France
19199|Zinedine Zidane|France
19200|Didier Deschamps|France
19201|Gerard Houllier|France
19202|Jose Mourinho|Portugal
19203|Abel Ferreira|Portugal
19204|Jorge Jesus|Portugal
19205|Fernando Santos|Portugal
19206|Ruben Amorim|Portugal
19207|Sergio Conceicao|Portugal
19208|Nuno Espirito Santo|Portugal
19209|Paulo Fonseca|Portugal
19210|Pep Guardiola|Spain
19211|Miguel Munoz|Spain
19212|Vicente del Bosque|Spain
19213|Luis Aragones|Spain
19214|Luis Enrique|Spain
19215|Rafael Benitez|Spain
19216|Unai Emery|Spain
19217|Xavi Hernandez|Spain
19218|Xabi Alonso|Spain
19219|Carlo Ancelotti|Italy
19220|Giovanni Trapattoni|Italy
19221|Fabio Capello|Italy
19222|Marcello Lippi|Italy
19223|Nereo Rocco|Italy
19224|Vittorio Pozzo|Italy
19225|Claudio Ranieri|Italy
19226|Antonio Conte|Italy
19227|Massimiliano Allegri|Italy
19228|Roberto Mancini|Italy
19229|Maurizio Sarri|Italy
19230|Cesare Maldini|Italy
19231|Roberto Di Matteo|Italy
19232|Andrea Pirlo|Italy
19233|Gennaro Gattuso|Italy
19234|Stefano Pioli|Italy
19235|Simone Inzaghi|Italy
19236|Johan Cruyff|Netherlands
19237|Rinus Michels|Netherlands
19238|Louis van Gaal|Netherlands
19239|Guus Hiddink|Netherlands
19240|Frank Rijkaard|Netherlands
19241|Marco van Basten|Netherlands
19242|Dick Advocaat|Netherlands
19243|Bert van Marwijk|Netherlands
19244|Ronald Koeman|Netherlands
19245|Erik ten Hag|Netherlands
19246|Helenio Herrera|Argentina
19247|Diego Simeone|Argentina
19248|Marcelo Bielsa|Argentina
19249|Cesar Luis Menotti|Argentina
19250|Carlos Bilardo|Argentina
19251|Jorge Sampaoli|Argentina
19252|Mauricio Pochettino|Argentina
19253|Gerardo Martino|Argentina
19254|Marcelo Gallardo|Argentina
19255|Udo Lattek|Germany
19256|Ottmar Hitzfeld|Germany
19257|Jupp Heynckes|Germany
19258|Hennes Weisweiler|Germany
19259|Otto Rehhagel|Germany
19260|Franz Beckenbauer|Germany
19261|Sepp Herberger|Germany
19262|Helmut Schon|Germany
19263|Berti Vogts|Germany
19264|Joachim Low|Germany
19265|Hansi Flick|Germany
19266|Jurgen Klopp|Germany
19267|Thomas Tuchel|Germany
19268|Julian Nagelsmann|Germany
19269|Ralf Rangnick|Germany
19270|Tele Santana|Brazil
19271|Mario Zagallo|Brazil
19272|Vicente Feola|Brazil
19273|Carlos Alberto Parreira|Brazil
19274|Luiz Felipe Scolari|Brazil
19275|Tite|Brazil
19276|Dorival Junior|Brazil
19277|Fernando Diniz|Brazil
19278|Sven-Goran Eriksson|Sweden
19279|Ange Postecoglou|Australia
19322|Mikel Arteta|
19323|Arne Slot|
19324|Manuel Pellegrini|
19345|Mircea Lucescu|
19346|Valeriy Lobanovskyi|
19347|Jock Stein|
19348|Sean Dyche|
19349|Joe Kinnear|
19350|Jim Smith|
19351|Enrique Fernandez|
19352|Nils Liedholm|
19353|Cestmir Vycpalek|
19354|Felix Magath|
19355|Branko Zebec|
19356|Vincent Kompany|
