entity_id,canonical_name,scope,tier
19384,Bong Range United,Liberia,obscure/historical
19389,Buffalo Stallions,United States,obscure/historical
55,Deportes La Serena,Chile,obscure/historical
19405,Jewish Guild,South Africa,obscure/historical
19409,Lanceros Boyacá,Colombia,obscure/historical
19418,New Jersey Americans,United States,obscure/historical
19420,Newcastle KB United,Australia,obscure/historical
19429,Sacrofano,Italy,obscure/historical
385,Salop United,England,obscure/historical
19431,Sea Bee,Hong Kong,obscure/historical
168,Universidad de Vinto,Bolivia,obscure/historical
19440,União de Tomar,Portugal,obscure/historical
19444,Young Survivors,Liberia,obscure/historical
